20:09:12 [INFO] Curriculum: 1500 steps with homogeneous k, then variable k
20:15:01 [INFO] [Adam 500/5000  10.0%] loss=6.9723e+00  pde=5.527e-01  bc=1.284e-01
20:20:29 [INFO] [Adam 1000/5000  20.0%] loss=4.1530e+00  pde=1.158e+00  bc=5.990e-02
20:26:08 [INFO] [Adam 1500/5000  30.0%] loss=1.7629e+00  pde=8.998e-01  bc=1.726e-02
20:26:08 [INFO] >>> Curriculum switch: homogeneous k -> variable k
20:31:31 [INFO] [Adam 2000/5000  40.0%] loss=1.1432e+02  pde=1.139e+02  bc=7.500e-03
20:36:49 [INFO] [Adam 2500/5000  50.0%] loss=1.2008e+02  pde=1.199e+02  bc=4.586e-03
20:42:06 [INFO] [Adam 3000/5000  60.0%] loss=1.1551e+02  pde=1.154e+02  bc=1.957e-03
20:47:27 [INFO] [Adam 3500/5000  70.0%] loss=1.2097e+02  pde=1.207e+02  bc=4.770e-03
20:52:56 [INFO] [Adam 4000/5000  80.0%] loss=1.2126e+02  pde=1.205e+02  bc=1.530e-02
20:58:28 [INFO] [Adam 4500/5000  90.0%] loss=8.5770e+01  pde=8.502e+01  bc=1.503e-02
21:03:47 [INFO] [Adam 5000/5000  100.0%] loss=4.8510e+01  pde=4.803e+01  bc=9.503e-03
21:03:47 [INFO] L-BFGS start — Adam final loss (baseline): 4.8510e+01
21:04:02 [INFO] [LBFGS 1/25  99.5%] loss=5.5382e+01
21:04:16 [INFO] [LBFGS 2/25  99.5%] loss=4.7899e+01
21:04:31 [INFO] [LBFGS 3/25  99.6%] loss=4.4543e+01
21:04:46 [INFO] [LBFGS 4/25  99.6%] loss=4.2130e+01
21:05:02 [INFO] [LBFGS 5/25  99.6%] loss=4.0673e+01
21:05:19 [INFO] [LBFGS 6/25  99.6%] loss=3.9328e+01
21:05:35 [INFO] [LBFGS 7/25  99.6%] loss=3.8501e+01
21:05:50 [INFO] [LBFGS 8/25  99.7%] loss=3.7209e+01
21:06:06 [INFO] [LBFGS 9/25  99.7%] loss=3.5856e+01
21:06:21 [INFO] [LBFGS 10/25  99.7%] loss=3.4985e+01
21:06:38 [INFO] [LBFGS 11/25  99.7%] loss=3.2881e+01
21:06:53 [INFO] [LBFGS 12/25  99.7%] loss=3.1394e+01
21:07:09 [INFO] [LBFGS 13/25  99.8%] loss=2.9514e+01
21:07:24 [INFO] [LBFGS 14/25  99.8%] loss=2.8083e+01
21:07:39 [INFO] [LBFGS 15/25  99.8%] loss=2.6864e+01
21:07:54 [INFO] [LBFGS 16/25  99.8%] loss=2.5710e+01
21:08:10 [INFO] [LBFGS 17/25  99.8%] loss=2.5053e+01
21:08:26 [INFO] [LBFGS 18/25  99.9%] loss=2.4128e+01
21:08:41 [INFO] [LBFGS 19/25  99.9%] loss=2.3223e+01
21:08:56 [INFO] [LBFGS 20/25  99.9%] loss=2.2398e+01
21:09:09 [INFO] [LBFGS 21/25  99.9%] loss=2.1365e+01
21:09:21 [INFO] [LBFGS 22/25  99.9%] loss=2.0647e+01
21:09:33 [INFO] [LBFGS 23/25  100.0%] loss=1.9363e+01
21:09:46 [INFO] [LBFGS 24/25  100.0%] loss=1.7981e+01
21:09:59 [INFO] [LBFGS 25/25  100.0%] loss=1.5954e+01
21:09:59 [INFO] L-BFGS done — restored best state (loss=1.5954e+01)
21:09:59 [INFO] Modelo guardado: C:\usr\ths_mia_fiis\tesis_MIA_lk\examples\kim_2024_154kv_bedding\results_pac_quick\model_final.pt
